"Node_Id:ID(Node)",":LABEL","name","tokens","documentation","Project"
"0","Project","AndResGuard","AndResGuard","None"
"1","Package","com.tencent.mm.resourceproguard.cli","com.tencent.mm.resourceproguard.cli","None"
"2","Class","CliMain","CliMain","Created by simsun on 1 9 16"
"3","Field","ARG_HELP","None","None"
"4","Field","ARG_OUT","None","None"
"5","Field","ARG_FINAL_APK_PATH","None","None"
"6","Field","ARG_CONFIG","None","None"
"7","Field","ARG_7ZIP","None","None"
"8","Field","ARG_ZIPALIGN","None","None"
"9","Field","ARG_SIGNATURE","None","None"
"10","Field","ARG_KEEPMAPPING","None","None"
"11","Field","ARG_REPACKAGE","None","None"
"12","Field","ARG_SIGNATURE_TYPE","None","None"
"13","Field","VALUE_SIGNATURE_TYPE_V1","None","None"
"14","Field","VALUE_SIGNATURE_TYPE_V2","None","None"
"15","Field","args","None","None"
"16","Field","m","None","None"
"17","Field","m","None","None"
"18","Field","f","None","None"
"19","Field","out","None","None"
"20","Field","command","None","None"
"21","Field","out","None","None"
"22","Field","args","None","None"
"23","Field","argWidth","None","None"
"24","Field","arg","None","None"
"25","Field","sb","None","None"
"26","Field","indent","None","None"
"27","Field","formatString","None","None"
"28","Field","arg","None","None"
"29","Field","description","None","None"
"30","Field","explanation","None","None"
"31","Field","lineWidth","None","None"
"32","Field","hangingIndent","None","None"
"33","Field","explanationLength","None","None"
"34","Field","sb","None","None"
"35","Field","index","None","None"
"36","Field","lineEnd","None","None"
"37","Field","next","None","None"
"38","Field","lastSpace","None","None"
"39","Field","args","None","None"
"40","Field","readArgs","None","None"
"41","Field","configFile","None","None"
"42","Field","signatureFile","None","None"
"43","Field","mappingFile","None","None"
"44","Field","keypass","None","None"
"45","Field","storealias","None","None"
"46","Field","storepass","None","None"
"47","Field","signedFile","None","None"
"48","Field","outputFile","None","None"
"49","Field","finalApkFile","None","None"
"50","Field","apkFileName","None","None"
"51","Field","signatureType","None","None"
"52","Field","repackage","None","None"
"53","Field","configFile","None","None"
"54","Field","signatureFile","None","None"
"55","Field","mappingFile","None","None"
"56","Field","keypass","None","None"
"57","Field","storealias","None","None"
"58","Field","storepass","None","None"
"59","Field","end","None","None"
"60","Field","args","None","None"
"61","Field","configFile","None","None"
"62","Field","outputFile","None","None"
"63","Field","finalApkFile","None","None"
"64","Field","apkFileName","None","None"
"65","Field","signatureFile","None","None"
"66","Field","mappingFile","None","None"
"67","Field","keypass","None","None"
"68","Field","storealias","None","None"
"69","Field","storepass","None","None"
"70","Field","signatureType","None","None"
"71","Field","signedFile","None","None"
"72","Field","args","None","None"
"73","Field","arg","None","None"
"74","Field","parent","None","None"
"75","Field","parent","None","None"
"76","Method","main","public static void main(String[] args) {
    mBeginTime = System.currentTimeMillis();
    CliMain m = new CliMain();
    setRunningLocation(m);
    m.run(args);
  }","None"
"77","Field","args","None","None"
"78","Field","m","None","None"
"79","Method","setRunningLocation","private static void setRunningLocation(CliMain m) {
    mRunningLocation = m.getClass().getProtectionDomain().getCodeSource().getLocation().getPath();
    try {
      mRunningLocation = URLDecoder.decode(mRunningLocation, ""utf-8"");
    } catch (UnsupportedEncodingException e) {
      e.printStackTrace();
    }
    if (mRunningLocation.endsWith("".jar"")) {
      mRunningLocation = mRunningLocation.substring(0, mRunningLocation.lastIndexOf(File.separator) + 1);
    }
    File f = new File(mRunningLocation);
    mRunningLocation = f.getAbsolutePath();
  }","None"
"80","Field","m","None","None"
"81","Field","f","None","None"
"82","Method","printUsage","private static void printUsage(PrintStream out) {
    // TODO: Look up launcher script name!
    String command = ""resousceproguard.jar""; //$NON-NLS-1$
    out.println();
    out.println();
    out.println(""Usage: java -jar "" + command + "" input.apk"");
    out.println(""if you want to special the output path or config file path, you can input:"");
    out.println(""Such as: java -jar ""
                + command
                + "" ""
                + ""input.apk ""
                + ARG_CONFIG
                + "" yourconfig.xml ""
                + ARG_OUT
                + "" output_directory"");
    out.println(""if you want to special the sign or mapping data, you can input:"");
    out.println(""Such as: java -jar ""
                + command
                + "" ""
                + ""input.apk ""
                + ARG_CONFIG
                + "" yourconfig.xml ""
                + ARG_OUT
                + "" output_directory ""
                + ARG_SIGNATURE
                + "" signature_file_path storepass keypass storealias ""
                + ARG_KEEPMAPPING
                + "" mapping_file_path"");
    out.println(""if you want to special the signature type, you can input:"");
    out.printf(""Such as: java -jar %s input.apk %s %s/%s\n"",
        command,
        ARG_SIGNATURE_TYPE,
        VALUE_SIGNATURE_TYPE_V1,
        VALUE_SIGNATURE_TYPE_V2
    );

    out.println(""if you want to special 7za or zipalign path, you can input:"");
    out.println(""Such as: java -jar ""
                + command
                + "" ""
                + ""input.apk ""
                + ARG_7ZIP
                + "" /home/shwenzhang/tools/7za ""
                + ARG_ZIPALIGN
                + "" /home/shwenzhang/sdk/tools/zipalign"");

    out.println(""if you just want to repackage an apk compress with 7z:"");
    out.println(""Such as: java -jar "" + command + "" "" + ARG_REPACKAGE + "" input.apk"");
    out.println(""if you want to special the output path, 7za or zipalign path, you can input:"");
    out.println(""Such as: java -jar ""
                + command
                + "" ""
                + ARG_REPACKAGE
                + "" input.apk""
                + ARG_OUT
                + "" output_directory ""
                + ARG_7ZIP
                + "" /home/shwenzhang/tools/7za ""
                + ARG_ZIPALIGN
                + ""/home/shwenzhang/sdk/tools/zipalign"");
    out.println(""if you want to special the final apk path, you can input:"");
    out.printf(""Such as: java -jar %s input.apk %s final_apk_path\n"", command, ARG_FINAL_APK_PATH);
    out.println();
    out.println(""Flags:\n"");

    printUsage(out, new String[] {
        ARG_HELP, ""This message."", ""-h"", ""short for -help"", ARG_OUT,
        ""set the output directory yourself, if not, the default directory is the running location with name of the input file"",
        ARG_CONFIG,
        ""set the config file yourself, if not, the default path is the running location with name config.xml"",
        ARG_SIGNATURE, ""set sign property, following by parameters: signature_file_path storepass keypass storealias"",
        ""  "", ""if you set these, the sign data in the config file will be overlayed"", ARG_KEEPMAPPING,
        ""set keep mapping property, following by parameters: mapping_file_path"", ""  "",
        ""if you set these, the mapping data in the config file will be overlayed"", ARG_7ZIP,
        ""set the 7zip path, such as /home/shwenzhang/tools/7za, window will be end of 7za.exe"", ARG_ZIPALIGN,
        ""set the zipalign, such as /home/shwenzhang/sdk/tools/zipalign, window will be end of zipalign.exe"",
        ARG_REPACKAGE, ""usually, when we build the channeles apk, it may destroy the 7zip."", ""  "",
        ""so you may need to use 7zip to repackage the apk"",
    });
    out.println();
    out.println(""if you donot know how to write the config file, look at the comment in the default config.xml"");
    out.println(""if you want to use 7z, you must install the 7z command line version in window;"");
    out.println(""sudo apt-get install p7zip-full in linux"");
  }","None"
"83","Field","out","None","None"
"84","Field","command","None","None"
"85","Method","printUsage","private static void printUsage(PrintStream out, String[] args) {
    int argWidth = 0;
    for (int i = 0; i < args.length; i += 2) {
      String arg = args[i];
      argWidth = Math.max(argWidth, arg.length());
    }
    argWidth += 2;
    StringBuilder sb = new StringBuilder();
    for (int i = 0; i < argWidth; i++) {
      sb.append(' ');
    }
    String indent = sb.toString();
    String formatString = ""%1$-"" + argWidth + ""s%2$s""; //$NON-NLS-1$

    for (int i = 0; i < args.length; i += 2) {
      String arg = args[i];
      String description = args[i + 1];
      if (arg.length() == 0) {
        out.println(description);
      } else {
        out.print(wrap(String.format(formatString, arg, description), 300, indent));
      }
    }
  }","None"
"86","Field","out","None","None"
"87","Field","args","None","None"
"88","Field","argWidth","None","None"
"89","Field","arg","None","None"
"90","Field","sb","None","None"
"91","Field","indent","None","None"
"92","Field","formatString","None","None"
"93","Field","arg","None","None"
"94","Field","description","None","None"
